elapsed time,receive time,header.stamp,topic,value
3.825817563,1709162307.723714003,1709162307.723428848,/rigid_bodies.rigidbodies[2].pose.position.x,0
3.840423123,1709162307.738319563,1709162307.738107068,/rigid_bodies.rigidbodies[2].pose.position.x,0.8644108703888519
3.8456117350000003,1709162307.743508175,1709162307.743288066,/rigid_bodies.rigidbodies[2].pose.position.x,0.8644257398174182
3.860167108,1709162307.758063548,1709162307.757774686,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643498184838898
3.870846121,1709162307.768742561,1709162307.768245282,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643161717864669
3.8762052000000002,1709162307.774101640,1709162307.773563725,/rigid_bodies.rigidbodies[2].pose.position.x,0.864339219217382
3.886066306,1709162307.783962746,1709162307.783486482,/rigid_bodies.rigidbodies[2].pose.position.x,0.864346413165641
3.9004690440000003,1709162307.798365484,1709162307.797974150,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643173575655818
3.906165014,1709162307.804061454,1709162307.803627980,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643348547931528
3.920485317,1709162307.818381757,1709162307.817867615,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643556911748357
3.926208001,1709162307.824104441,1709162307.823662872,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643991946486588
3.940421276,1709162307.838317716,1709162307.838105127,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643821654621241
3.9457130080000002,1709162307.843609448,1709162307.843375018,/rigid_bodies.rigidbodies[2].pose.position.x,0.864336554320409
3.955861163,1709162307.853757603,1709162307.853445291,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643117777866879
3.966052382,1709162307.863948822,1709162307.863546456,/rigid_bodies.rigidbodies[2].pose.position.x,0.8642823990198145
3.980568186,1709162307.878464626,1709162307.878037269,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643499809297501
3.986103179,1709162307.883999619,1709162307.883526592,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643713270026996
4.000286983,1709162307.898183423,1709162307.897840311,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643565293082702
4.005906605,1709162307.903803045,1709162307.903451260,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643727915776499
4.020447531,1709162307.918343971,1709162307.917894170,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643460416744043
4.025815488,1709162307.923711928,1709162307.923401638,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643615580966579
4.040426594,1709162307.938323034,1709162307.937850612,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643642439778261
4.046207491,1709162307.944103931,1709162307.943631536,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643060830084536
4.060610773,1709162307.958507213,1709162307.958221850,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643098920147547
4.065923375,1709162307.963819815,1709162307.963447869,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643120335981395
4.080730548,1709162307.978626988,1709162307.978116199,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643367857766023
4.090070263,1709162307.987966703,1709162307.987621268,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643232163306862
4.100799816,1709162307.998696256,1709162307.998097750,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643221548936367
4.1106189650000005,1709162308.008515405,1709162308.007743167,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643397547715008
4.120735032,1709162308.018631472,1709162308.018035946,/rigid_bodies.rigidbodies[2].pose.position.x,0.864347341517985
4.131453929,1709162308.029350369,1709162308.028753295,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643490173655121
4.135925364,1709162308.033821804,1709162308.033347437,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643384005643615
4.146132776,1709162308.044029216,1709162308.043481824,/rigid_bodies.rigidbodies[2].pose.position.x,0.8642904209030605
4.156066303,1709162308.053962743,1709162308.053418841,/rigid_bodies.rigidbodies[2].pose.position.x,0.8642914145721696
4.16653419,1709162308.064430630,1709162308.063792791,/rigid_bodies.rigidbodies[2].pose.position.x,0.864379966443461
4.181142344,1709162308.079038784,1709162308.078356294,/rigid_bodies.rigidbodies[2].pose.position.x,0.864369413068323
4.186233213,1709162308.084129653,1709162308.083570938,/rigid_bodies.rigidbodies[2].pose.position.x,0.8643445446130633
